FIVE_SIDED,0
CAPSULE_OBLONG,1
OVAL,2
ROUND,3
FOUR_SIDED,4
SIX_SIDED,5
RECTANGLE,6
RECTANGLE,7
THREE_SIDED,8
ANY_SHAPE,9
DOUBLE FIGURE_EIGHT_SHAPE,10
HEART_SHAPE,11
EIGHT_SIDED,12
BARREL,13
FOUR_SIDED,14
